SL.NO,CHAT,REPLY
435,Hire vendor means,Hire vendor is a person who sells goods on hire purchase system.
436,what is Hire vendor,Hire vendor is a person who sells goods on hire purchase system.
437,briefly explain about Hire vendor,Hire vendor is a person who sells goods on hire purchase system.
438,describe Hire vendor,Hire vendor is a person who sells goods on hire purchase system.
439,Hypothecation means,Hypothecation occurs when an enterprise pledges an asset assecurity against a loan. The lender can seize the asset and recover the outstanding loan due if the enterprise fails to repay the loan.
440,what is Hypothecation,Hypothecation occurs when an enterprise pledges an asset assecurity against a loan. The lender can seize the asset and recover the outstanding loan due if the enterprise fails to repay the loan.
441,briefly explain about Hypothecation,Hypothecation occurs when an enterprise pledges an asset assecurity against a loan. The lender can seize the asset and recover the outstanding loan due if the enterprise fails to repay the loan.
442,describe Hypothecation,Hypothecation occurs when an enterprise pledges an asset assecurity against a loan. The lender can seize the asset and recover the outstanding loan due if the enterprise fails to repay the loan.
443,International Financial Reporting Standards (IFRS) means,"IFRS are a set of accounting standards, issued by the International Accounting Standards Board (IASB), for the financial statements of public companies to make them consistent, transparent, and easily comparable around the world."
444,what is International Financial Reporting Standards (IFRS),"IFRS are a set of accounting standards, issued by the International Accounting Standards Board (IASB), for the financial statements of public companies to make them consistent, transparent, and easily comparable around the world."
445,describe International Financial Reporting Standards (IFRS),"IFRS are a set of accounting standards, issued by the International Accounting Standards Board (IASB), for the financial statements of public companies to make them consistent, transparent, and easily comparable around the world."
446,briefly explain about International Financial Reporting Standards (IFRS),"IFRS are a set of accounting standards, issued by the International Accounting Standards Board (IASB), for the financial statements of public companies to make them consistent, transparent, and easily comparable around the world."
447,Impairment means,: Impairment is the permanent reduction in the value of a tangible or intangible asset.
448,what is Impairment,: Impairment is the permanent reduction in the value of a tangible or intangible asset.
449,describe Impairment,: Impairment is the permanent reduction in the value of a tangible or intangible asset.
450,briefly explain about Impairment,: Impairment is the permanent reduction in the value of a tangible or intangible asset.
451,Income received in advance means,Income received in advance implies receipt of money against an income which has not become due or receivable as on date. Such receipt is treated as a liability of the business.
452,describe Income received in advance,Income received in advance implies receipt of money against an income which has not become due or receivable as on date. Such receipt is treated as a liability of the business.
453,briefly explain about Income received in advance,Income received in advance implies receipt of money against an income which has not become due or receivable as on date. Such receipt is treated as a liability of the business.
454,what is Income received in advance,Income received in advance implies receipt of money against an income which has not become due or receivable as on date. Such receipt is treated as a liability of the business.
455,example for Income received in advance,Rent receivable for April has been received in March
456,Income received in advance example,Rent receivable for April has been received in March
457,Income Tax means,"Income tax is a direct tax levied on persons on income arising in India as per the Income Tax Act, 1961"
458,describe Income Tax,"Income tax is a direct tax levied on persons on income arising in India as per the Income Tax Act, 1961"
459,briefly explain about Income Tax,"Income tax is a direct tax levied on persons on income arising in India as per the Income Tax Act, 1961"
460,what is Income Tax,"Income tax is a direct tax levied on persons on income arising in India as per the Income Tax Act, 1961"
461,Indirect Tax means,"An indirect tax is collected by one entity in the supply chain (usually a producer or retailer) and paid to the government, but it is passed on to the consumer as part of the purchase price of a good orservice"
462,describe Indirect Tax,"An indirect tax is collected by one entity in the supply chain (usually a producer or retailer) and paid to the government, but it is passed on to the consumer as part of the purchase price of a good orservice"
463,briefly explain about Indirect Tax,"An indirect tax is collected by one entity in the supply chain (usually a producer or retailer) and paid to the government, but it is passed on to the consumer as part of the purchase price of a good orservice"
464,what is Indirect Tax,"An indirect tax is collected by one entity in the supply chain (usually a producer or retailer) and paid to the government, but it is passed on to the consumer as part of the purchase price of a good orservice"
465,Initial Public Offering (IPO) means,An Initial Public Offering refers to an offer by a company to the public to purchase a specified number of shares in the company. An IPO is a method of raising capital by the company
466,what is Initial Public Offering (IPO),An Initial Public Offering refers to an offer by a company to the public to purchase a specified number of shares in the company. An IPO is a method of raising capital by the company
467,describe Initial Public Offering (IPO),An Initial Public Offering refers to an offer by a company to the public to purchase a specified number of shares in the company. An IPO is a method of raising capital by the company
468,briefly explain about Initial Public Offering (IPO),An Initial Public Offering refers to an offer by a company to the public to purchase a specified number of shares in the company. An IPO is a method of raising capital by the company
469,Instalment transaction means,"Instalment system is an arrangement for buying expensive consumer goods, where the buyer makes an initial down payment and pays the balance plus interest in instalments."
470,what is Instalment transaction,"Instalment system is an arrangement for buying expensive consumer goods, where the buyer makes an initial down payment and pays the balance plus interest in instalments."
471,describe Instalment transaction,"Instalment system is an arrangement for buying expensive consumer goods, where the buyer makes an initial down payment and pays the balance plus interest in instalments."
472,briefly explain about Instalment transaction,"Instalment system is an arrangement for buying expensive consumer goods, where the buyer makes an initial down payment and pays the balance plus interest in instalments."
473,Insurance claim means,An insurance claim is a compensation paid by the insurance company to an insured party for the loss suffered by the party to its assets due to an unforeseen event.
474,what is Insurance claim,An insurance claim is a compensation paid by the insurance company to an insured party for the loss suffered by the party to its assets due to an unforeseen event.
475,describe Insurance claim,An insurance claim is a compensation paid by the insurance company to an insured party for the loss suffered by the party to its assets due to an unforeseen event.
476,briefly explain about Insurance claim,An insurance claim is a compensation paid by the insurance company to an insured party for the loss suffered by the party to its assets due to an unforeseen event.
477,Intangible Asset means,An intangible asset is an asset that is not physical in nature. They derive their value from certain internal & external factors.
478,what is Intangible Asset,An intangible asset is an asset that is not physical in nature. They derive their value from certain internal & external factors.
479,describe Intangible Asset,An intangible asset is an asset that is not physical in nature. They derive their value from certain internal & external factors.
480,briefly explain about Intangible Asset,An intangible asset is an asset that is not physical in nature. They derive their value from certain internal & external factors.
481,examples of intangible assets,"Goodwill, brand recognition, website, patents, trademarks and copyrights"
482,Interest means,Interest is the price paid for borrowing money.
483,what is Interest,Interest is the price paid for borrowing money.
484,describe Interest,Interest is the price paid for borrowing money.
485,briefly explain about Interest,Interest is the price paid for borrowing money.
486,Intrinsic Value means,Intrinsic value refers to the valuation of the net assets of a company. This valuation may be done by considering the book value or the fair value of the assets & liabilities of the company
487,what is Intrinsic Value,Intrinsic value refers to the valuation of the net assets of a company. This valuation may be done by considering the book value or the fair value of the assets & liabilities of the company
488,briefly explain about Intrinsic Value,Intrinsic value refers to the valuation of the net assets of a company. This valuation may be done by considering the book value or the fair value of the assets & liabilities of the company
489,describe Intrinsic Value,Intrinsic value refers to the valuation of the net assets of a company. This valuation may be done by considering the book value or the fair value of the assets & liabilities of the company
490,Inventory means,The term inventory refers to the raw materials used in production or rendering of services as well as the finished goods which are available for sale.
491,what is Inventory,The term inventory refers to the raw materials used in production or rendering of services as well as the finished goods which are available for sale.
492, describe Inventory,The term inventory refers to the raw materials used in production or rendering of services as well as the finished goods which are available for sale.
493,briefly explain about Inventory,The term inventory refers to the raw materials used in production or rendering of services as well as the finished goods which are available for sale.
494,what is Investments,An investment is an asset acquired with the goal of generating income or appreciation of wealth.
495,Investments means,An investment is an asset acquired with the goal of generating income or appreciation of wealth.
496,describe Investments,An investment is an asset acquired with the goal of generating income or appreciation of wealth.
497,briefly explain about Investments,An investment is an asset acquired with the goal of generating income or appreciation of wealth.
498,Limited Liability Partnership (LLP) means,"A Limited Liability Partnership is a form of organization, in the nature of a partnership with the partners having limited liability, as formed under the Limited Liability Partnership Act, 2008."
499,what is Limited Liability Partnership (LLP),"A Limited Liability Partnership is a form of organization, in the nature of a partnership with the partners having limited liability, as formed under the Limited Liability Partnership Act, 2008."
500,describe Limited Liability Partnership (LLP),"A Limited Liability Partnership is a form of organization, in the nature of a partnership with the partners having limited liability, as formed under the Limited Liability Partnership Act, 2008."
501,briefly explain about Limited Liability Partnership (LLP),"A Limited Liability Partnership is a form of organization, in the nature of a partnership with the partners having limited liability, as formed under the Limited Liability Partnership Act, 2008."
502,Liquidation means,Liquidation is the process of bringing a business to an end and distributing its assets to claimants. It is an event that usually occurs when a company is insolvent.
503,what is Liquidation,Liquidation is the process of bringing a business to an end and distributing its assets to claimants. It is an event that usually occurs when a company is insolvent.
504,describe Liquidation,Liquidation is the process of bringing a business to an end and distributing its assets to claimants. It is an event that usually occurs when a company is insolvent.
505,briefly explain about Liquidation,Liquidation is the process of bringing a business to an end and distributing its assets to claimants. It is an event that usually occurs when a company is insolvent.
506,Manufacturing account means,Manufacturing account is a Revenue account in which all manufacturing expenses and incomes are recorded.
507,what is Manufacturing account,Manufacturing account is a Revenue account in which all manufacturing expenses and incomes are recorded.
508,briefly explain about Manufacturing account,Manufacturing account is a Revenue account in which all manufacturing expenses and incomes are recorded.
509, describe Manufacturing account,Manufacturing account is a Revenue account in which all manufacturing expenses and incomes are recorded.
510,Manufacturing expense means,"Any expense incurred for the purpose of, or related to the manufacturing of a product is called as a manufacturing expense."
511,what is Manufacturing expense,"Any expense incurred for the purpose of, or related to the manufacturing of a product is called as a manufacturing expense."
512,describe Manufacturing expense,"Any expense incurred for the purpose of, or related to the manufacturing of a product is called as a manufacturing expense."
513,briefly explain about Manufacturing expense,"Any expense incurred for the purpose of, or related to the manufacturing of a product is called as a manufacturing expense."
514,Manufacturing expense example,"Raw material consumed, factory wages, depreciation of machinery."
515,example for Manufacturing expense,"Raw material consumed, factory wages, depreciation of machinery."
516,describe Marginal cost,Marginal cost is the additional cost that is incurred when the level of output is increased by 1 unit. Marginal cost is the variable cost incurred for manufacturing 1 unit
517,Marginal cost means,Marginal cost is the additional cost that is incurred when the level of output is increased by 1 unit. Marginal cost is the variable cost incurred for manufacturing 1 unit
518,briefly explain about Marginal cost,Marginal cost is the additional cost that is incurred when the level of output is increased by 1 unit. Marginal cost is the variable cost incurred for manufacturing 1 unit
519,what is Marginal cost,Marginal cost is the additional cost that is incurred when the level of output is increased by 1 unit. Marginal cost is the variable cost incurred for manufacturing 1 unit
520,Marginal costing means,Marginal costing is a technique of costing used for cost analysis and forecasting by classifying all costs into their fixed and variable components
521,what is Marginal costing,Marginal costing is a technique of costing used for cost analysis and forecasting by classifying all costs into their fixed and variable components
522,briefly explain about Marginal costing,Marginal costing is a technique of costing used for cost analysis and forecasting by classifying all costs into their fixed and variable components
523,describe Marginal costing,Marginal costing is a technique of costing used for cost analysis and forecasting by classifying all costs into their fixed and variable components
524,Memorandum means,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
525,what is Memorandum,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
526,briefly explain about Memorandum,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
527,describe Memorandum,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
528,Proforma account means,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
529,briefly explain about Proforma account,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
530, describe Proforma account,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
531,what is Proforma account,A Memorandum or Proforma account is a rough working prepared outside the books of accounts for a specific purpose.
532,Merger means,"A merger is an agreement by which two or more existing companies combine into one new company. The merging companies will cease to exist and new merged company will be incorporated to take over the business, assets & liabilities of the merging companies."
533,what is Merger,"A merger is an agreement by which two or more existing companies combine into one new company. The merging companies will cease to exist and new merged company will be incorporated to take over the business, assets & liabilities of the merging companies."
534,describe Merger,"A merger is an agreement by which two or more existing companies combine into one new company. The merging companies will cease to exist and new merged company will be incorporated to take over the business, assets & liabilities of the merging companies."
535,briefly explain about Merger,"A merger is an agreement by which two or more existing companies combine into one new company. The merging companies will cease to exist and new merged company will be incorporated to take over the business, assets & liabilities of the merging companies."
536,Mutual funds means,"A mutual fund is a type of financial vehicle made up of a pool of money collected from many investors to invest in securities like shares, bonds and other assets."
537,what is Mutual funds,"A mutual fund is a type of financial vehicle made up of a pool of money collected from many investors to invest in securities like shares, bonds and other assets."
538,describe Mutual funds,"A mutual fund is a type of financial vehicle made up of a pool of money collected from many investors to invest in securities like shares, bonds and other assets."
539,briefly explain about Mutual funds,"A mutual fund is a type of financial vehicle made up of a pool of money collected from many investors to invest in securities like shares, bonds and other assets."
540,Net Purchases means,Net Purchase is the Purchase disclosed by an enterprise after deducting the Purchase returns. Net Purchase = Gross Purchase – Purchase Returns
541, what is Net Purchases,Net Purchase is the Purchase disclosed by an enterprise after deducting the Purchase returns. Net Purchase = Gross Purchase – Purchase Returns
542,describe Net Purchases,Net Purchase is the Purchase disclosed by an enterprise after deducting the Purchase returns. Net Purchase = Gross Purchase – Purchase Returns
543,briefly explain about Net Purchases,Net Purchase is the Purchase disclosed by an enterprise after deducting the Purchase returns. Net Purchase = Gross Purchase – Purchase Returns
544,Net Profit means,Net Profit is the net income earned by a business. It is calculated by reducing all expenses from all the incomes earned by a business.
545,what is Net Profit,Net Profit is the net income earned by a business. It is calculated by reducing all expenses from all the incomes earned by a business.
546,briefly explain about Net Profit,Net Profit is the net income earned by a business. It is calculated by reducing all expenses from all the incomes earned by a business.
547,describe Net Profit,Net Profit is the net income earned by a business. It is calculated by reducing all expenses from all the incomes earned by a business.
548,Net profit or earnings after tax (NPAT/EAT) means,NPAT or EAT indicates the net profit earned by a business after payment / provision of income tax.
549,what is Net profit or earnings after tax (NPAT/EAT),NPAT or EAT indicates the net profit earned by a business after payment / provision of income tax.
550,describe Net profit or earnings after tax (NPAT/EAT),NPAT or EAT indicates the net profit earned by a business after payment / provision of income tax.
551,briefly explain about Net profit or earnings after tax (NPAT/EAT),NPAT or EAT indicates the net profit earned by a business after payment / provision of income tax.
552,Net Profit Ratio means,Net Profit ratio indicatesthe ratio of the Net profit to the sales.
553,what is Net Profit Ratio,Net Profit ratio indicatesthe ratio of the Net profit to the sales.
554,describe Net Profit Ratio,Net Profit ratio indicatesthe ratio of the Net profit to the sales.
555,briefly explain about Net Profit Ratio,Net Profit ratio indicatesthe ratio of the Net profit to the sales.
556,Net Profit Ratio is calculated by,It is calculated as percentage of Net profit to the net sales. ie. (Net Profit / Net Sales) x 100.
557,Net Profit Ratio formula,It is calculated as percentage of Net profit to the net sales. ie. (Net Profit / Net Sales) x 100.
558,Net Sales means,Net Sales is the sales disclosed by an enterprise after deducting the sales returns
559,what is Net Sales,Net Sales is the sales disclosed by an enterprise after deducting the sales returns
560, describeNet Sales,Net Sales is the sales disclosed by an enterprise after deducting the sales returns
561,briefly explain about Net Sales,Net Sales is the sales disclosed by an enterprise after deducting the sales returns
562,Net Sales is calculated by,Net Sales = Gross Sales – Sales Returns
563,Net Sales formula,Net Sales = Gross Sales – Sales Returns
564,briefly explain about Non-cash item,A non-cash item refers to an expense listed in an income statement that does not involve a cash payment. Eg. Depreciation
565,what is Non-cash item,A non-cash item refers to an expense listed in an income statement that does not involve a cash payment. Eg. Depreciation
566,Non-cash item means,A non-cash item refers to an expense listed in an income statement that does not involve a cash payment. Eg. Depreciation
567,describe Non-cash item,A non-cash item refers to an expense listed in an income statement that does not involve a cash payment. Eg. Depreciation
568,Non-current Asset means,"Non-current assets are a company's long-term assets which will not be realized within the accounting year. They are typically highly illiquid, meaning these assets cannot be easily converted into cash"
569, what isNon-current Asset,"Non-current assets are a company's long-term assets which will not be realized within the accounting year. They are typically highly illiquid, meaning these assets cannot be easily converted into cash"
570,describe Non-current Asset,"Non-current assets are a company's long-term assets which will not be realized within the accounting year. They are typically highly illiquid, meaning these assets cannot be easily converted into cash"
571, briefly explain aboutNon-current Asset,"Non-current assets are a company's long-term assets which will not be realized within the accounting year. They are typically highly illiquid, meaning these assets cannot be easily converted into cash"
572,Non-current Asset example,"Eg. Fixed Assets, Long term investments"
573,example for Non-current Asset,"Eg. Fixed Assets, Long term investments"
574,Non-operating expense means,Non-operating expenses are those expenses which are not directly related to the core business of the company
575, what isNon-operating expense,Non-operating expenses are those expenses which are not directly related to the core business of the company
576,describe Non-operating expense,Non-operating expenses are those expenses which are not directly related to the core business of the company
577,briefly explain about Non-operating expense,Non-operating expenses are those expenses which are not directly related to the core business of the company
578,Non-operating expense example,Eg. Loss on sale of asset
579,example for Non-operating expense,Eg. Loss on sale of asset
580,Non-operating income means,Non-operating incomes are those incomes which are not related to the core business of the company.
581,what is Non-operating income,Non-operating incomes are those incomes which are not related to the core business of the company.
582,describe Non-operating income,Non-operating incomes are those incomes which are not related to the core business of the company.
583,briefly explain about Non-operating income,Non-operating incomes are those incomes which are not related to the core business of the company.
584,Non-operating income example,"Eg. Interest on investments, profit on sale of assets."
585,example for Non-operating income,"Eg. Interest on investments, profit on sale of assets."
586,Normal loss means,Normal loss is the loss of quantity / weight which is expected in a manufacturing process. This loss occurs due to the nature of the manufacturing activity carried out and is unavoidable in nature.
587,what is Normal loss,Normal loss is the loss of quantity / weight which is expected in a manufacturing process. This loss occurs due to the nature of the manufacturing activity carried out and is unavoidable in nature.
588,describe Normal loss,Normal loss is the loss of quantity / weight which is expected in a manufacturing process. This loss occurs due to the nature of the manufacturing activity carried out and is unavoidable in nature.
589,briefly explain about Normal loss,Normal loss is the loss of quantity / weight which is expected in a manufacturing process. This loss occurs due to the nature of the manufacturing activity carried out and is unavoidable in nature.
590,Operating expense means,"Operating expenses are those expenses which are directly related to the business activity. These may be broadly divided into sub-groups like manufacturing, administrative, finance, selling or distribution expenses."
591,describe Operating expense,"Operating expenses are those expenses which are directly related to the business activity. These may be broadly divided into sub-groups like manufacturing, administrative, finance, selling or distribution expenses."
592,briefly explain about Operating expense,"Operating expenses are those expenses which are directly related to the business activity. These may be broadly divided into sub-groups like manufacturing, administrative, finance, selling or distribution expenses."
593,what is Operating expense,"Operating expenses are those expenses which are directly related to the business activity. These may be broadly divided into sub-groups like manufacturing, administrative, finance, selling or distribution expenses."
594,Operating income means,Operating income is the income earned from the core activity of the business.
595,what is Operating income,Operating income is the income earned from the core activity of the business.
596,describe Operating income,Operating income is the income earned from the core activity of the business.
597,briefly explain about Operating income,Operating income is the income earned from the core activity of the business.
598,Outstanding expense means,"Outstanding expense is the expense which has accrued or become due for an accounting period, but which has not been paid till date. It is treated as a liability for the business"
599,what is Outstanding expense,"Outstanding expense is the expense which has accrued or become due for an accounting period, but which has not been paid till date. It is treated as a liability for the business"
600,describe Outstanding expense,"Outstanding expense is the expense which has accrued or become due for an accounting period, but which has not been paid till date. It is treated as a liability for the business"
601,briefly explain about Outstanding expense,"Outstanding expense is the expense which has accrued or become due for an accounting period, but which has not been paid till date. It is treated as a liability for the business"
602,Partnership means,"A partnership is a form of organization in which 2 or more persons come together to conduct business for the benefit of all partners, and as defined and governed by The Partnership Act, 1932."
603,what is Partnership,"A partnership is a form of organization in which 2 or more persons come together to conduct business for the benefit of all partners, and as defined and governed by The Partnership Act, 1932."
604,describe Partnership,"A partnership is a form of organization in which 2 or more persons come together to conduct business for the benefit of all partners, and as defined and governed by The Partnership Act, 1932."
605,briefly explain about Partnership,"A partnership is a form of organization in which 2 or more persons come together to conduct business for the benefit of all partners, and as defined and governed by The Partnership Act, 1932."
606,Piecemeal distribution means,A piecemeal distribution is a system where the liabilities of a partnership firm are paid off in parts (piecemeal) as and when the assets are disposed off upon the dissolution of the firm.
607,what is Piecemeal distribution,A piecemeal distribution is a system where the liabilities of a partnership firm are paid off in parts (piecemeal) as and when the assets are disposed off upon the dissolution of the firm.
608,describe Piecemeal distribution,A piecemeal distribution is a system where the liabilities of a partnership firm are paid off in parts (piecemeal) as and when the assets are disposed off upon the dissolution of the firm.
609,briefly explain about Piecemeal distribution,A piecemeal distribution is a system where the liabilities of a partnership firm are paid off in parts (piecemeal) as and when the assets are disposed off upon the dissolution of the firm.
610,Preference Shares means,Preference shares are a type of shares issued by a Company which get preference for payment of dividend and for repayment /redemption upon the liquidation of a Company. The rate of dividend payable on the preference shares is also fixed.
611,what is Preference Shares,Preference shares are a type of shares issued by a Company which get preference for payment of dividend and for repayment /redemption upon the liquidation of a Company. The rate of dividend payable on the preference shares is also fixed.
612,describe Preference Shares,Preference shares are a type of shares issued by a Company which get preference for payment of dividend and for repayment /redemption upon the liquidation of a Company. The rate of dividend payable on the preference shares is also fixed.
613,briefly explain about Preference Shares,Preference shares are a type of shares issued by a Company which get preference for payment of dividend and for repayment /redemption upon the liquidation of a Company. The rate of dividend payable on the preference shares is also fixed.
614,Prepaid expense means,Prepaid expense is the expense which has been paid but has not accrued or become due for an accounting period.
615,describe Prepaid expense,Prepaid expense is the expense which has been paid but has not accrued or become due for an accounting period.
616,briefly explain about Prepaid expense,Prepaid expense is the expense which has been paid but has not accrued or become due for an accounting period.
617,what is Prepaid expense,Prepaid expense is the expense which has been paid but has not accrued or become due for an accounting period.
618,Profit & Loss Statement means,Profit & Loss Statement is a financial statement which summarizes the incomes and expenses that have accrued to the business enterprise for a specified period
619,what is Profit & Loss Statement,Profit & Loss Statement is a financial statement which summarizes the incomes and expenses that have accrued to the business enterprise for a specified period
620,describe Profit & Loss Statement,Profit & Loss Statement is a financial statement which summarizes the incomes and expenses that have accrued to the business enterprise for a specified period
621,briefly explain about Profit & Loss Statement,Profit & Loss Statement is a financial statement which summarizes the incomes and expenses that have accrued to the business enterprise for a specified period
622,Proforma invoice means,Proforma Invoice is an unofficial document prepared by a business indicating the probable value of the goods to be sold or delivered. This document is not recorded in the books of accounts.
623,what is Proforma invoice,Proforma Invoice is an unofficial document prepared by a business indicating the probable value of the goods to be sold or delivered. This document is not recorded in the books of accounts.
624,describe Proforma invoice,Proforma Invoice is an unofficial document prepared by a business indicating the probable value of the goods to be sold or delivered. This document is not recorded in the books of accounts.
625,briefly explain about Proforma invoice,Proforma Invoice is an unofficial document prepared by a business indicating the probable value of the goods to be sold or delivered. This document is not recorded in the books of accounts.
626,"Property, Plant & Equipment means","Property, Plant & Equipment is a term used to refer to Tangible Fixed Assets."
627,"what is Property, Plant & Equipment","Property, Plant & Equipment is a term used to refer to Tangible Fixed Assets."
628,"describe Property, Plant & Equipment","Property, Plant & Equipment is a term used to refer to Tangible Fixed Assets."
629,"briefly explain about Property, Plant & Equipment","Property, Plant & Equipment is a term used to refer to Tangible Fixed Assets."
630,"Property, Plant & Equipment example","Land & Building, Plant & Machinery, Computers etc."
631,"example for Property, Plant & Equipment","Land & Building, Plant & Machinery, Computers etc."
632,Proprietor's funds means,Proprietor’s funds refer to the funds which belong to the owners of a business enterprise
633,briefly explain about Proprietor's funds,Proprietor’s funds refer to the funds which belong to the owners of a business enterprise
634,describe Proprietor's funds,Proprietor’s funds refer to the funds which belong to the owners of a business enterprise
635,what is Proprietor's funds,Proprietor’s funds refer to the funds which belong to the owners of a business enterprise
636,Provision means,"A provision refers to accounting for an expense which has been accrued, but the exact amount of which is not known. Hence, an enterprise records an approximate amount as an expense based on certain estimations."
637,what is Provision,"A provision refers to accounting for an expense which has been accrued, but the exact amount of which is not known. Hence, an enterprise records an approximate amount as an expense based on certain estimations."
638,describe Provision,"A provision refers to accounting for an expense which has been accrued, but the exact amount of which is not known. Hence, an enterprise records an approximate amount as an expense based on certain estimations."
639,briefly explain about Provision,"A provision refers to accounting for an expense which has been accrued, but the exact amount of which is not known. Hence, an enterprise records an approximate amount as an expense based on certain estimations."
640,Quick Assets means,Assets which can be converted into (sold / disposed) cash or cash equivalents in a short period of time are called Quick Assets.
641,what is Quick Assets,Assets which can be converted into (sold / disposed) cash or cash equivalents in a short period of time are called Quick Assets.
642,describe Quick Assets,Assets which can be converted into (sold / disposed) cash or cash equivalents in a short period of time are called Quick Assets.
643,briefly explain about Quick Assets,Assets which can be converted into (sold / disposed) cash or cash equivalents in a short period of time are called Quick Assets.
644, Quick Assets example,"Eg. Debtors, Short-term investments."
645,example for Quick Assets,"Eg. Debtors, Short-term investments."
646,Quick Liabilities means,Liabilities which have to repaid in a short period of time are called Quick Liabilities.
647,describe Quick Liabilities,Liabilities which have to repaid in a short period of time are called Quick Liabilities.
648,what is Quick Liabilities,Liabilities which have to repaid in a short period of time are called Quick Liabilities.
649,briefly explain about Quick Liabilities,Liabilities which have to repaid in a short period of time are called Quick Liabilities.
650,Quick Liabilities example,"Eg. Payment to Creditors, payment of Bills Payable, Outstanding Expenses."
651,example for Quick Liabilities,"Eg. Payment to Creditors, payment of Bills Payable, Outstanding Expenses."
652,Quick Ratio means,Quick ratio is the ratio of the Quick Assets to the Quick Liabilities. It indicates the liquidity position of a business. A higher quick ratio indicates that a business is able to convert its assetsinto cash very quickly and is able to pay its short-term liabilities comfortably. A ratio of 1:1 or greater is considered as an acceptable quick ratio.
653,what is Quick Ratio,Quick ratio is the ratio of the Quick Assets to the Quick Liabilities. It indicates the liquidity position of a business. A higher quick ratio indicates that a business is able to convert its assetsinto cash very quickly and is able to pay its short-term liabilities comfortably. A ratio of 1:1 or greater is considered as an acceptable quick ratio.
654,describe Quick Ratio,Quick ratio is the ratio of the Quick Assets to the Quick Liabilities. It indicates the liquidity position of a business. A higher quick ratio indicates that a business is able to convert its assetsinto cash very quickly and is able to pay its short-term liabilities comfortably. A ratio of 1:1 or greater is considered as an acceptable quick ratio.
655,briefly explain about Quick Ratio,Quick ratio is the ratio of the Quick Assets to the Quick Liabilities. It indicates the liquidity position of a business. A higher quick ratio indicates that a business is able to convert its assetsinto cash very quickly and is able to pay its short-term liabilities comfortably. A ratio of 1:1 or greater is considered as an acceptable quick ratio.
656,Raw materials means,Raw Materials are the basic materials used for manufacturing a product
657,what is Raw materials,Raw Materials are the basic materials used for manufacturing a product
658,describe Raw materials,Raw Materials are the basic materials used for manufacturing a product
659, briefly explain aboutRaw materials,Raw Materials are the basic materials used for manufacturing a product
660,Redemption means,Redemption refers to the process of repayment of securities like Debentures or Preference Shares. This involves refunding of the money invested by the security-holders and cancellation of the said securities.
661,what is Redemption,Redemption refers to the process of repayment of securities like Debentures or Preference Shares. This involves refunding of the money invested by the security-holders and cancellation of the said securities.
662,describe Redemption,Redemption refers to the process of repayment of securities like Debentures or Preference Shares. This involves refunding of the money invested by the security-holders and cancellation of the said securities.
663,briefly explain about Redemption,Redemption refers to the process of repayment of securities like Debentures or Preference Shares. This involves refunding of the money invested by the security-holders and cancellation of the said securities.
664,Reserves & Surplus means,"Reserves & Surplus is a grouping in the Balance Sheet which aggregates all the various profits, gains & capital and revenue earned by the enterprise."
665,what is Reserves & Surplus,"Reserves & Surplus is a grouping in the Balance Sheet which aggregates all the various profits, gains & capital and revenue earned by the enterprise."
666,describe Reserves & Surplus,"Reserves & Surplus is a grouping in the Balance Sheet which aggregates all the various profits, gains & capital and revenue earned by the enterprise."
667,briefly explain about Reserves & Surplus,"Reserves & Surplus is a grouping in the Balance Sheet which aggregates all the various profits, gains & capital and revenue earned by the enterprise."
668,Retention money means,"In a construction contract, retention money refers to the money held back by the Contractee (customer) from the Contractor (supplier). This amount is paid by the contractee to the contractor only after a certain period of time and when the contractee is assured of the quality of the work done by the contractor."
669, what is Retention money,"In a construction contract, retention money refers to the money held back by the Contractee (customer) from the Contractor (supplier). This amount is paid by the contractee to the contractor only after a certain period of time and when the contractee is assured of the quality of the work done by the contractor."
670,describe Retention money,"In a construction contract, retention money refers to the money held back by the Contractee (customer) from the Contractor (supplier). This amount is paid by the contractee to the contractor only after a certain period of time and when the contractee is assured of the quality of the work done by the contractor."
671,briefly explain about Retention money,"In a construction contract, retention money refers to the money held back by the Contractee (customer) from the Contractor (supplier). This amount is paid by the contractee to the contractor only after a certain period of time and when the contractee is assured of the quality of the work done by the contractor."
672,Revenue expenditure means,Expenditure incurred by an enterprise in the normal course of the business and which gives short term benefitsto a businessis called Revenue Expenditure. Such expenditure is shown on the debit side of the Revenue Statement
673,what is Revenue expenditure,Expenditure incurred by an enterprise in the normal course of the business and which gives short term benefitsto a businessis called Revenue Expenditure. Such expenditure is shown on the debit side of the Revenue Statement
674,describe Revenue expenditure,Expenditure incurred by an enterprise in the normal course of the business and which gives short term benefitsto a businessis called Revenue Expenditure. Such expenditure is shown on the debit side of the Revenue Statement
675,briefly explain about Revenue expenditure,Expenditure incurred by an enterprise in the normal course of the business and which gives short term benefitsto a businessis called Revenue Expenditure. Such expenditure is shown on the debit side of the Revenue Statement
